,time,YPredicted,YReal,KPredicted,NPredicted,RPredicted,loss,An,d,al,tr,depon,gentime,Z,dn,ksted,nsted,rsted,s,A,be,phi,region_id,segment_index
80,80,0.946449896884985,0.90473069212557,0.412878920275236,0.72620316935007,0.811146756077576,0.0563946702427769,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.804647444925335,0.170811123982511,0.2,Chihuahua Desert,2
81,81,0.993893055390539,0.96701379295967,0.44175557394812,0.770640568258389,0.801444892882714,0.0563946702427769,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.804647444925335,0.170811123982511,0.2,Chihuahua Desert,2
82,82,1.03720281614888,1.03883469715106,0.468108030295732,0.815199450358959,0.790393380075152,0.0563946702427769,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.804647444925335,0.170811123982511,0.2,Chihuahua Desert,2
83,83,1.0765895793874,1.10381471678297,0.492337119239848,0.859251312491357,0.778666319337832,0.0563946702427769,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.804647444925335,0.170811123982511,0.2,Chihuahua Desert,2
84,84,1.11255490029656,1.14631835196401,0.514260276897491,0.90202425430273,0.76724926440345,0.0563946702427769,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.804647444925335,0.170811123982511,0.2,Chihuahua Desert,2
85,85,1.14494925407631,1.16115734202966,0.534280392659924,0.943255997554226,0.756002490373732,0.0563946702427769,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.804647444925335,0.170811123982511,0.2,Chihuahua Desert,2
86,86,1.17380353510834,1.157583874975,0.55252103714667,0.982642167156326,0.745018019330135,0.0563946702427769,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.804647444925335,0.170811123982511,0.2,Chihuahua Desert,2
87,87,1.19952300306192,1.15997363110124,0.568854863492743,1.01976279438863,0.734724839170221,0.0563946702427769,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.804647444925335,0.170811123982511,0.2,Chihuahua Desert,2
88,88,1.22216816362475,1.20325387388375,0.583475988291955,1.05451213903324,0.725030980145927,0.0563946702427769,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.804647444925335,0.170811123982511,0.2,Chihuahua Desert,2
89,89,1.24190814794999,1.31464848414198,0.596492677372035,1.08680059377477,0.715936049577127,0.0563946702427769,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.804647444925335,0.170811123982511,0.2,Chihuahua Desert,2
90,90,1.39849348188207,1.48775785909247,0.596492677372035,1.08680059377477,0.715936049577127,0.134947040639344,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,1.07629097149037,0.15096718033795,0.314171796337781,Chihuahua Desert,3
91,91,1.61651891743682,1.67818740890143,0.66069198589696,1.32092182926835,0.694861912689263,0.134947040639344,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,1.07629097149037,0.15096718033795,0.314171796337781,Chihuahua Desert,3
92,92,1.78821672876342,1.83542308118498,0.73797123500219,1.56842136716313,0.655902024407454,0.134947040639344,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,1.07629097149037,0.15096718033795,0.314171796337781,Chihuahua Desert,3
93,93,1.89787259339346,1.93842194179203,0.812070139006746,1.81099303257789,0.609031055105593,0.134947040639344,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,1.07629097149037,0.15096718033795,0.314171796337781,Chihuahua Desert,3
94,94,1.94336193974105,1.9933292476187,0.872088010627561,2.03146569917048,0.561011612470131,0.134947040639344,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,1.07629097149037,0.15096718033795,0.314171796337781,Chihuahua Desert,3
95,95,1.93298201326815,2.00626415903691,0.910730770709472,2.21608757823577,0.516132819836332,0.134947040639344,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,1.07629097149037,0.15096718033795,0.314171796337781,Chihuahua Desert,3
96,96,1.88663628979088,1.97531684322794,0.928351219886215,2.35869893396752,0.477465603423127,0.134947040639344,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,1.07629097149037,0.15096718033795,0.314171796337781,Chihuahua Desert,3
97,97,1.8208261864347,1.90561605277415,0.927438979086815,2.45888827983082,0.445819909823496,0.134947040639344,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,1.07629097149037,0.15096718033795,0.314171796337781,Chihuahua Desert,3
98,98,1.75031525659548,1.8164066387217,0.913005629403983,2.52099274973209,0.421370274034565,0.134947040639344,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,1.07629097149037,0.15096718033795,0.314171796337781,Chihuahua Desert,3
99,99,1.6862053108754,1.72989782689249,0.891228480439566,2.55286323956181,0.403754842724134,0.134947040639344,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,1.07629097149037,0.15096718033795,0.314171796337781,Chihuahua Desert,3
100,100,1.63159831697141,1.66081720237249,0.866357764556966,2.56200167015505,0.391693434910877,0.134947040639344,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,1.07629097149037,0.15096718033795,0.314171796337781,Chihuahua Desert,3
101,101,1.58815599160655,1.61765431357131,0.841326742003894,2.55517488969788,0.384240828992587,0.134947040639344,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,1.07629097149037,0.15096718033795,0.314171796337781,Chihuahua Desert,3
102,102,1.55768190115919,1.60320603072014,0.819271012316292,2.53944366080094,0.380676678109381,0.134947040639344,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,1.07629097149037,0.15096718033795,0.314171796337781,Chihuahua Desert,3
103,103,1.5394307710792,1.60875056854773,0.801599615504663,2.52004158184978,0.380128623227524,0.134947040639344,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,1.07629097149037,0.15096718033795,0.314171796337781,Chihuahua Desert,3
104,104,1.53114781674294,1.61424223037952,0.788011352701179,2.50008907174333,0.38175876038465,0.134947040639344,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,1.07629097149037,0.15096718033795,0.314171796337781,Chihuahua Desert,3
105,105,1.53114781455922,1.5990213055812,0.778930337655754,2.48249401432914,0.384792310675048,0.134947040639344,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,1.07629097149037,0.15096718033795,0.314171796337781,Chihuahua Desert,3
106,106,1.53726954884347,1.55208636874835,0.774347953028573,2.46943002136364,0.388420133189839,0.134947040639344,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,1.07629097149037,0.15096718033795,0.314171796337781,Chihuahua Desert,3
107,107,1.54668854646425,1.47386251905151,0.773351116376488,2.46130008193784,0.391942708918574,0.134947040639344,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,1.07629097149037,0.15096718033795,0.314171796337781,Chihuahua Desert,3
108,108,1.55634320888722,1.37194515482949,0.774430243478197,2.4570645833339,0.394837412896128,0.134947040639344,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,1.07629097149037,0.15096718033795,0.314171796337781,Chihuahua Desert,3
109,109,1.56527373624457,1.25762475406652,0.776874966364172,2.45618365518246,0.39698279383344,0.134947040639344,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,1.07629097149037,0.15096718033795,0.314171796337781,Chihuahua Desert,3
110,110,1.5726249001404,1.14449348306935,0.779946237220222,2.45777762374736,0.398340721896606,0.134947040639344,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,1.07629097149037,0.15096718033795,0.314171796337781,Chihuahua Desert,3
111,111,1.27046806938669,1.04496630634863,0.779946237220222,2.45777762374736,0.398340721896606,0.120599632710747,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.528425306340634,0.231122831182573,0.355860410527414,Chihuahua Desert,4
