,time,YPredicted,YReal,KPredicted,NPredicted,RPredicted,loss,An,d,al,tr,depon,gentime,Z,dn,ksted,nsted,rsted,s,segment_index,A,be,phi,region_id
38,38,0.452796021726278,0.38161258609013,0.215120917207698,0.440682309079698,0.73913670904046,0.0685193249142217,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,1,0.55836659354727,0.447097764040728,0.227520369067863,Chihuahua Desert
39,39,0.461079080132962,0.38399202406739,0.220546042398161,0.455174222372848,0.729455706992729,0.0685193249142217,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,1,0.55836659354727,0.447097764040728,0.227520369067863,Chihuahua Desert
40,40,0.468456856192598,0.40356903727205,0.225351989464165,0.468630145542292,0.720610176122735,0.0685193249142217,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,1,0.55836659354727,0.447097764040728,0.227520369067863,Chihuahua Desert
41,41,0.475148781317379,0.44067288521918,0.229432653776061,0.480927449331657,0.713005094748894,0.0685193249142217,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,1,0.55836659354727,0.447097764040728,0.227520369067863,Chihuahua Desert
42,42,0.480977399559339,0.48660848138086,0.233080213760179,0.492255958884944,0.705877748390845,0.0685193249142217,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,1,0.55836659354727,0.447097764040728,0.227520369067863,Chihuahua Desert
43,43,0.485884483823547,0.52814982907088,0.236510922199109,0.502737492165894,0.698837704547177,0.0685193249142217,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,1,0.55836659354727,0.447097764040728,0.227520369067863,Chihuahua Desert
44,44,0.489956924949142,0.55577433981289,0.239705375406593,0.512376043575414,0.691972013800827,0.0685193249142217,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,1,0.55836659354727,0.447097764040728,0.227520369067863,Chihuahua Desert
45,45,0.493466329436101,0.56852978677299,0.242408513227521,0.521057783951582,0.685845209819082,0.0685193249142217,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,1,0.55836659354727,0.447097764040728,0.227520369067863,Chihuahua Desert
46,46,0.496678712372101,0.57189394694676,0.244406426156904,0.528698715150009,0.680928656839861,0.0685193249142217,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,1,0.55836659354727,0.447097764040728,0.227520369067863,Chihuahua Desert
47,47,0.499423885687043,0.57198597059457,0.246130547753434,0.535539809592602,0.676487349685407,0.0685193249142217,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,1,0.55836659354727,0.447097764040728,0.227520369067863,Chihuahua Desert
48,48,0.501708483056745,0.57139891397501,0.247762907411863,0.541692299820225,0.672306993879036,0.0685193249142217,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,1,0.55836659354727,0.447097764040728,0.227520369067863,Chihuahua Desert
49,49,0.503590260354938,0.56892791827494,0.249309184265155,0.547208597891425,0.66838369892393,0.0685193249142217,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,1,0.55836659354727,0.447097764040728,0.227520369067863,Chihuahua Desert
50,50,0.505179182004362,0.56195401713201,0.250608866515458,0.55208813873654,0.664900928428535,0.0685193249142217,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,1,0.55836659354727,0.447097764040728,0.227520369067863,Chihuahua Desert
51,51,0.506583204764317,0.54868704163772,0.251519535144386,0.556333365558164,0.662025618914146,0.0685193249142217,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,1,0.55836659354727,0.447097764040728,0.227520369067863,Chihuahua Desert
52,52,0.507776655481623,0.5285950568206,0.252289129563761,0.56006497926281,0.659490351936979,0.0685193249142217,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,1,0.55836659354727,0.447097764040728,0.227520369067863,Chihuahua Desert
53,53,0.508772554635319,0.50244795240589,0.253004454879406,0.563355190898728,0.657195439822508,0.0685193249142217,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,1,0.55836659354727,0.447097764040728,0.227520369067863,Chihuahua Desert
54,54,0.509596335335547,0.47338068895332,0.253681884223331,0.566254105215414,0.655108766017586,0.0685193249142217,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,1,0.55836659354727,0.447097764040728,0.227520369067863,Chihuahua Desert
55,55,0.510285585963257,0.44704795303783,0.254274514782032,0.568791874447689,0.653257894973954,0.0685193249142217,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,1,0.55836659354727,0.447097764040728,0.227520369067863,Chihuahua Desert
